Prompt_ID;Metric;Method;Source_0;Source_1;Source_2;Source_3;Source_4
1;subjpos_detailed;Baseline;1.0161;1.0335;1.0408;1.0017;1.0054
1;diversity_detailed;Baseline;1.0269;1.0328;1.0182;1.0235;1.0225
1;uniqueness_detailed;Baseline;1.0199;1.2357;1.2399;1.077;1.0718
1;follow_detailed;Baseline;1.0636;1.1424;1.095;1.0159;1.0517
1;influence_detailed;Baseline;1.0818;1.1818;1.2494;1.0062;1.0218
1;relevance_detailed;Baseline;1.0003;1.0005;1.0003;1.0002;1.0006
1;subjcount_detailed;Baseline;1.0122;1.0165;1.0318;1.0017;1.0044
1;subjpos_detailed;fluent_gpt;1.0317;1.0284;1.0097;1.0042;1.0252
1;diversity_detailed;fluent_gpt;1.0819;1.2105;1.0146;1.0269;1.0125
1;uniqueness_detailed;fluent_gpt;1.018;1.1778;1.104;1.1323;1.3327
1;follow_detailed;fluent_gpt;1.1263;1.2398;1.3673;1.2861;1.1716
1;influence_detailed;fluent_gpt;1.4906;1.372;1.1565;1.0345;1.4765
1;relevance_detailed;fluent_gpt;1.0011;1.0042;1.0059;1.0028;1.003
1;subjcount_detailed;fluent_gpt;1.0125;1.0296;1.0167;1.0113;1.0141
1;subjpos_detailed;authoritative;1.0095;1.0547;1.0088;1.01;1.0239
1;diversity_detailed;authoritative;1.2699;1.2603;1.0832;1.0851;1.1626
1;uniqueness_detailed;authoritative;1.0159;1.1701;1.5258;1.1519;1.3444
1;follow_detailed;authoritative;1.0599;1.105;1.0389;1.0258;1.0218
1;influence_detailed;authoritative;1.322;1.4251;1.0906;1.0293;1.0625
1;relevance_detailed;authoritative;1.0005;1.0029;1.001;1.0007;1.0018
1;subjcount_detailed;authoritative;1.0236;1.0392;1.0514;1.0492;1.0714
1;subjpos_detailed;more_quotes;1.0061;1.0064;1.0012;1.0037;1.0028
1;diversity_detailed;more_quotes;1.0094;1.022;1.0039;1.0114;1.0084
1;uniqueness_detailed;more_quotes;1.0349;1.1783;1.0956;1.2716;1.2096
1;follow_detailed;more_quotes;1.0264;1.0476;1.0141;1.021;1.0156
1;influence_detailed;more_quotes;1.0356;1.0355;1.0142;1.0103;1.0119
1;relevance_detailed;more_quotes;1.0029;1.0012;1.0014;1.0011;1.0014
1;subjcount_detailed;more_quotes;1.0143;1.015;1.0041;1.0055;1.0135
1;subjpos_detailed;citing_credible;1.0238;1.0394;1.0131;1.0044;1.004
1;diversity_detailed;citing_credible;1.0146;1.0524;1.0206;1.0055;1.0232
1;uniqueness_detailed;citing_credible;1.0613;1.4416;1.6447;1.295;1.204
1;follow_detailed;citing_credible;1.1595;1.0983;1.5028;1.0277;1.1019
1;influence_detailed;citing_credible;1.2614;1.583;1.8509;1.1426;1.0171
1;relevance_detailed;citing_credible;1.0002;1.0003;1.0001;1.0001;1.0001
1;subjcount_detailed;citing_credible;1.0148;1.0169;1.0121;1.006;1.0115
1;subjpos_detailed;simple_language;1.0146;1.0199;1.0174;1.0011;1.0017
1;diversity_detailed;simple_language;1.0064;1.019;1.0026;1.0018;1.003
1;uniqueness_detailed;simple_language;1.0101;1.046;1.062;1.0167;1.0518
