Prompt_ID;Metric;Method;Source_0;Source_1;Source_2;Source_3;Source_4
2;subjpos_detailed;Baseline_V2;3.7445;3.6281;3.5472;3.045;3.7526
2;diversity_detailed;Baseline_V2;3.4191;3.8292;3.7618;3.6501;3.7352
2;uniqueness_detailed;Baseline_V2;3.2161;3.5735;3.1749;3.4779;3.2574
2;follow_detailed;Baseline_V2;3.5444;3.7582;3.5208;3.2908;3.8622
2;influence_detailed;Baseline_V2;3.517;3.5295;3.3179;3.0526;3.5727
2;relevance_detailed;Baseline_V2;3.4743;3.9692;3.8228;3.5837;3.8655
2;subjcount_detailed;Baseline_V2;3.2064;3.4182;3.3733;3.0772;3.4379
3;subjpos_detailed;Baseline_V2;3.7322;3.8651;3.7536;3.6817;3.7503
3;diversity_detailed;Baseline_V2;3.4732;3.8176;3.4218;3.4366;3.1661
3;uniqueness_detailed;Baseline_V2;3.3227;3.6677;3.2339;3.6344;3.374
1;subjpos_detailed;Baseline_V2;3.5374;3.3919;3.2103;3.0923;2.8772
3;follow_detailed;Baseline_V2;3.7865;3.6212;3.245;3.3399;3.4748
1;diversity_detailed;Baseline_V2;3.8828;3.7534;3.5093;3.1046;3.0571
3;influence_detailed;Baseline_V2;3.2945;3.8427;3.4871;3.4893;3.4521
1;uniqueness_detailed;Baseline_V2;3.1292;3.1853;3.1552;3.1226;2.7978
3;relevance_detailed;Baseline_V2;3.9093;3.9118;3.6207;3.6648;3.5871
1;follow_detailed;Baseline_V2;3.8649;3.6455;3.4031;3.2011;3.0693
3;subjcount_detailed;Baseline_V2;3.5318;3.5907;3.2961;3.4074;3.3124
5;subjpos_detailed;Baseline_V2;3.8904;3.2384;3.0099;3.1917;3.2118
1;influence_detailed;Baseline_V2;3.7841;3.387;3.338;3.1312;2.9208
5;diversity_detailed;Baseline_V2;3.8199;3.2476;3.2564;3.551;3.2145
1;relevance_detailed;Baseline_V2;3.7263;3.6503;3.295;3.0831;3.169
5;uniqueness_detailed;Baseline_V2;3.4168;3.0882;2.9736;3.1187;3.2133
