Visibility Metric;Optimization Method;Avg Delta;WCP;DR;WTR
chat_cite;identity;0.0067;-1.0;0.1033;0.8967
chat_cite;fluent_gpt;0.035;-1.0;0.1067;0.8933
chat_cite;authoritative;0.015;-1.0;0.1233;0.8767
chat_cite;more_quotes;-0.0017;-1.0;0.1317;0.8683
chat_cite;citing_credible;0.0667;-1.0;0.09;0.91
chat_cite;simple_language;0.0333;-1.0;0.0917;0.9083
chat_cite;technical_terms;0.0883;-1.0;0.0767;0.9233
chat_cite;stats_optimization;0.08;-1.0;0.09;0.91
chat_cite;llms_txt;0.06;-1.0;0.0933;0.9067
chat_cite;inverted_pyramid_mine;0.0183;-1.0;0.12;0.88
chat_cite;autogeo_api_mine;0.0783;-1.0;0.0883;0.9117
sentence_cite;identity;0.03;-9.0;2.2;0.7017
sentence_cite;fluent_gpt;0.0283;-12.0;2.4517;0.6817
sentence_cite;authoritative;-0.0383;-9.0;2.2983;0.645
sentence_cite;more_quotes;-0.145;-10.0;2.8333;0.6317
sentence_cite;citing_credible;0.215;-12.0;2.3133;0.7067
sentence_cite;simple_language;-0.0683;-9.0;2.0517;0.6517
sentence_cite;technical_terms;0.7667;-11.0;1.7617;0.7717
sentence_cite;stats_optimization;0.8217;-9.0;1.6867;0.7717
sentence_cite;llms_txt;0.1183;-12.0;2.4517;0.685
sentence_cite;inverted_pyramid_mine;-0.0717;-10.0;2.5817;0.6483
sentence_cite;autogeo_api_mine;0.68;-11.0;2.2067;0.755
position_adjusted_wordcount;identity;-0.0053;-0.7923;0.0109;0.6033
position_adjusted_wordcount;fluent_gpt;-0.0035;-0.8;0.0162;0.5817
position_adjusted_wordcount;authoritative;-0.0038;-0.833;0.0145;0.5517
position_adjusted_wordcount;more_quotes;-0.0179;-0.5808;0.0161;0.5383
position_adjusted_wordcount;citing_credible;0.0249;-0.779;0.0111;0.615
position_adjusted_wordcount;simple_language;-0.0168;-0.8711;0.016;0.5333
position_adjusted_wordcount;technical_terms;0.0895;-0.5686;0.0083;0.715
position_adjusted_wordcount;stats_optimization;0.0941;-0.6943;0.0077;0.7383
position_adjusted_wordcount;llms_txt;0.0016;-0.8;0.0152;0.6
