Prompt_ID;Target_Index
1;3
2;1
3;0
4;1
5;1
6;4
7;4
8;2
9;1
10;3
11;4
12;3
13;3
14;2
15;0
16;1
17;2
18;4
19;1
20;0
21;1
22;1
23;1
24;2
25;3
26;3
27;1
28;3
29;0
30;4
31;4
32;0
33;0
34;4
35;4
36;4
37;2
38;4
39;3
40;1
41;3
42;3
43;0
44;0
45;3
46;2
47;0
48;2
49;4
50;0
51;3
52;1
53;2
54;4
55;0
56;0
57;4
58;0
59;4
60;1
61;2
62;3
63;4
64;3
65;3
66;3
67;0
68;0
69;3
70;0
71;0
72;2
73;0
74;2
75;4
76;3
77;2
78;2
79;1
80;1
81;2
82;4
83;1
84;3
85;2
86;1
87;0
88;1
89;3
90;0
91;1
92;0
93;3
94;3
95;4
96;4
97;2
98;1
99;2
100;3
101;1
102;4
103;1
104;3
105;0
106;4
107;3
108;1
109;1
110;2
111;3
112;1
113;3
114;0
115;1
116;2
117;4
118;1
119;1
120;2
121;4
122;0
123;4
124;0
125;2
126;1
127;4
128;0
129;1
130;4
131;4
132;2
133;3
134;3
135;3
136;2
137;4
138;0
139;1
140;0
141;0
142;4
143;4
144;1
145;3
146;3
147;1
148;4
149;3
150;0
151;2
152;3
153;3
154;3
155;1
156;4
157;3
158;4
159;1
160;3
161;0
162;4
163;0
164;4
165;0
166;0
167;1
168;1
169;0
170;2
171;2
172;4
173;2
174;2
175;0
176;3
177;0
178;1
179;0
180;1
181;1
182;4
183;3
184;0
185;2
186;0
187;2
188;2
189;1
190;3
191;0
192;1
193;2
194;4
195;4
196;4
197;4
198;4
199;0
200;2
201;0
202;0
203;3
204;0
205;3
206;3
207;0
208;4
209;2
210;4
211;3
212;4
213;3
214;1
215;4
216;0
217;1
218;2
219;2
220;2
221;1
222;1
223;0
224;2
225;0
226;1
227;3
228;3
229;1
230;4
231;1
232;0
233;2
234;1
235;2
236;2
237;2
238;4
239;2
240;0
241;4
242;4
243;2
244;4
245;3
246;1
247;0
248;3
249;3
250;1
251;3
252;3
253;4
254;4
255;2
256;0
257;3
258;2
259;0
260;0
261;1
262;3
263;2
264;3
265;4
266;3
267;0
268;1
269;4
270;0
271;1
272;3
273;3
274;1
275;1
276;0
277;2
278;0
279;2
280;3
281;2
282;0
283;0
284;0
285;0
286;4
287;3
288;2
289;2
290;2
291;4
292;3
293;1
294;3
295;1
296;2
297;0
298;4
299;1
300;2
301;4
302;3
303;4
304;0
305;1
306;1
307;3
308;4
309;1
310;0
311;4
312;2
313;1
314;4
315;1
316;3
317;0
318;3
319;0
320;1
321;3
322;2
323;3
324;0
325;4
326;4
327;0
328;0
329;4
330;3
331;4
332;2
333;1
334;4
335;1
336;1
337;0
338;1
339;0
340;1
341;3
342;4
343;0
344;1
345;3
346;2
347;4
348;2
349;2
350;3
351;2
352;4
353;2
354;0
355;1
356;1
357;0
358;1
359;1
360;0
361;1
362;4
363;4
364;1
365;0
366;2
367;0
368;0
369;3
370;2
371;0
372;2
373;0
374;0
375;2
376;1
377;3
378;1
379;0
380;0
381;1
382;3
383;0
384;4
385;3
386;0
387;4
388;3
389;2
390;2
391;4
392;3
393;4
394;2
395;1
396;2
397;0
398;0
399;3
400;0
401;2
402;3
403;3
404;1
405;0
406;0
407;3
408;0
409;3
410;4
411;1
412;1
413;2
414;3
415;3
416;2
417;2
418;4
419;2
420;4
421;0
422;4
423;3
424;2
425;4
426;3
427;1
428;1
429;2
430;4
431;2
432;2
433;4
434;1
435;2
436;1
437;3
438;4
439;1
440;3
441;0
442;1
443;2
444;1
445;2
446;4
447;3
448;3
449;2
450;1
451;0
452;0
453;2
454;1
455;2
456;0
457;3
458;1
459;0
460;1
461;2
462;2
463;4
464;1
465;2
466;1
467;0
468;2
469;1
470;2
471;0
472;0
473;1
474;2
475;0
476;0
477;3
478;4
479;2
480;3
481;3
482;3
483;4
484;4
485;4
486;1
487;1
488;4
489;0
490;1
491;3
492;3
493;4
494;2
495;4
496;1
497;3
498;2
499;1
500;0
501;3
502;2
503;4
504;1
505;1
506;1
507;3
508;3
509;4
510;3
511;4
512;0
513;0
514;0
515;2
516;1
517;1
518;3
519;2
520;4
521;0
522;0
523;0
524;2
525;1
526;4
527;1
528;3
529;0
530;1
531;2
532;1
533;1
534;3
535;3
536;1
537;1
538;3
539;2
540;2
541;4
542;2
543;3
544;1
545;2
546;1
547;0
548;0
549;0
550;1
551;3
552;4
553;0
554;3
555;4
556;1
557;3
558;0
559;3
560;0
561;0
562;4
563;2
564;4
565;2
566;3
567;3
568;1
569;0
570;4
571;0
572;1
573;1
574;2
575;2
576;2
577;4
578;3
579;2
580;2
581;4
582;0
583;1
584;4
585;4
586;0
587;2
588;2
589;3
590;0
591;0
592;4
593;0
594;2
595;1
596;2
597;3
598;0
599;0
600;0
