GEO-Methode;Meta-Z-Score (Avg);Z-Score (StdDev);Chat Cite;Sentence Cite;Position Adjusted Wordcount;Absolute Wordcount;RVS Sentiment;ROUGE-L Recall;BLEU Score;Length Ratio;Perplexity;Position Adjusted Sentence Count;GEval Overall
Technical Terms;1.0064;1.3444;0.206;0.339;0.467;0.502;0.301;1.957;4.531;1.967;-0.136;0.369;0.371
AutoGEO;0.9253;1.3414;0.181;0.298;0.329;0.357;0.077;1.932;4.409;4.031;0.057;0.341;0.326
Statistics Optimization;0.8934;1.1153;0.185;0.364;0.491;0.511;0.125;1.566;3.831;3.297;-0.487;0.434;0.421
Citing Credible Sources;0.8463;1.4552;0.152;0.082;0.133;0.131;0.132;2.147;4.555;1.299;-0.396;0.131;0.135
LLMs.txt;0.7118;1.2646;0.136;0.038;0.013;0.003;0.1;2.523;3.56;0.451;0.177;0.042;0.078
Simple Language;0.6528;1.2741;0.07;-0.049;-0.082;-0.099;0.052;2.62;3.403;1.225;-0.116;-0.018;-0.003
Inverted Pyramid;0.631;1.227;0.033;-0.051;-0.057;-0.071;0.061;2.412;3.344;3.982;-0.062;-0.033;-0.049
Fluent Optimization;0.567;1.08;0.074;-0.004;-0.014;-0.019;0.039;1.901;3.129;1.137;-0.125;0.021;-0.003
Authoritative;0.5565;1.1058;0.025;-0.035;-0.015;-0.021;-0.007;1.744;3.281;1.102;-0.172;-0.008;0.062
More Quotes;0.477;1.039;-0.016;-0.085;-0.088;-0.103;-0.066;1.687;2.968;2.726;-0.44;-0.047;-0.039
