GEO-Methode;Sichtbarkeitsverschiebung (Cohen's d);Durchschnittliches Delta;Effektstrke (Cohen's d);Verbesserungsrate (WCP %);Verschlechterungsrate (DR %);Nutzen-Risiko-Verhltnis (WTR)
Technical Terms;1.00636;1.00636;1.00636;82.83;17.17;4.83
AutoGEO;0.9253;0.9253;0.9253;81.83;18.17;4.5
Statistics Optimization;0.89342;0.89342;0.89342;78.5;21.5;3.65
Citing Credible Sources;0.84628;0.84628;0.84628;81.33;18.67;4.36
LLMs.txt;0.71182;0.71182;0.71182;81.5;18.5;4.41
Simple Language;0.65284;0.65284;0.65284;78.33;21.67;3.62
Inverted Pyramid;0.63099;0.63099;0.63099;76.67;23.33;3.29
Fluent Optimization;0.56699;0.56699;0.56699;77.33;22.67;3.41
Authoritative;0.5565;0.5565;0.5565;74.5;25.5;2.92
More Quotes;0.477;0.477;0.477;69.0;31.0;2.23
Baseline V2;-0.00244;-0.00244;-0.00244;49.46;50.54;0.98
Baseline;-0.01248;-0.01248;-0.01248;50.33;49.67;1.01
